,Date,Ta
0,2021-10-04 00:00,0.049
1,2021-10-04 01:00,0.049
2,2021-10-04 02:00,0.049
3,2021-10-04 03:00,0.047599999999999996
4,2021-10-04 04:00,0.047599999999999996
5,2021-10-04 05:00,0.047599999999999996
6,2021-10-04 06:00,0.042
7,2021-10-04 07:00,0.042
8,2021-10-04 08:00,0.042
9,2021-10-04 09:00,0.0448
10,2021-10-04 10:00,0.0448
11,2021-10-04 11:00,0.0448
12,2021-10-04 12:00,0.0448
13,2021-10-04 13:00,0.0448
14,2021-10-04 14:00,0.0448
15,2021-10-04 15:00,0.0448
16,2021-10-04 16:00,0.0448
17,2021-10-04 17:00,0.0448
18,2021-10-04 18:00,0.0434
19,2021-10-04 19:00,0.0434
20,2021-10-04 20:00,0.0434
21,2021-10-04 21:00,0.047599999999999996
22,2021-10-04 22:00,0.047599999999999996
23,2021-10-04 23:00,0.047599999999999996
